Property Type Cleaned,Area Cleaned,ClubHouse Cleaned,School Cleaned,Hospital Cleaned,Mall Cleaned,Park Cleaned,Pool Cleaned,Gym Cleaned,Price by sub-area,Amenities score,Price by Amenities score,Noun_Counts,Verb_Counts,Adjective_Counts,bedroom apartment,boasts elegant,elegant towers,great community,mantra gold,offering bedroom,project boasts,project offers,stories offering,towers stories
1.0,421.5,1,0,0,0,1,0,0,58.044000000000004,2,81.48103448275862,12,4,5,0,0,0,0,0,0,0,0,0,0
1.0,421.5,1,0,0,0,1,0,0,58.044000000000004,2,81.48103448275862,9,4,4,0,0,0,0,0,0,0,0,0,0
1.0,421.5,1,0,0,0,1,0,0,58.044000000000004,2,81.48103448275862,10,5,4,0,0,0,0,0,0,0,0,0,0
2.0,667.0,1,0,0,0,1,0,0,58.044000000000004,2,81.48103448275862,12,3,9,0,0,0,0,0,0,0,0,0,0
2.0,641.0,1,0,0,0,1,0,0,58.044000000000004,2,81.48103448275862,14,5,6,0,0,0,0,0,0,0,0,0,0
2.0,665.0,1,0,0,0,1,0,0,58.044000000000004,2,81.48103448275862,10,3,4,0,0,0,0,0,0,0,0,0,0
1.0,421.5,1,0,0,0,1,1,1,36.0,4,98.58288659793813,9,3,6,0,0,0,0,0,0,0,0,0,0
2.0,421.5,1,0,0,0,1,0,1,36.0,3,69.04065217391305,10,4,5,0,0,0,0,0,0,0,0,0,0
2.0,730.0,1,0,0,0,1,1,1,132.96499999999997,4,98.58288659793813,11,4,4,0,0,0,0,0,0,0,0,0,0
3.0,1135.0,1,0,0,0,1,1,1,132.96499999999997,4,98.58288659793813,10,6,5,0,0,0,0,0,0,0,0,0,0
3.0,1350.0,1,0,0,0,1,1,1,132.96499999999997,4,98.58288659793813,15,7,6,0,0,0,0,0,0,0,0,0,0
4.0,1600.0,1,0,0,0,1,1,1,132.96499999999997,4,98.58288659793813,12,4,3,0,0,0,0,0,0,0,0,0,0
2.0,789.0,0,0,0,0,1,1,1,132.96499999999997,3,69.04065217391305,9,5,5,0,0,0,0,0,0,0,0,0,0
